"Name","Make","Model","Serial Number","Category","Location","Collection","Condition","Heir","Purchased From","Purchase Date","Quantity","Price","Value","Tags"
"Boosted Board V2+ X","Boosted Board","V2+","S26441659","Automotive","Garage","Mobility","Fair","(unassigned)","boostedboards.com","1/24/17","1","$1,599.00","$1,599.00",
"Shargeek STORM2 Slim 130W 20,000mAh","Shargeek","STM2E-1",,"Power banks","(unspecified)","Power banks","(unspecified)","(unassigned)","Amazon.com","7/2/23","1","$136.43","$199.99","LiPo"
"IRWIN VISE-GRIP Convertible Snap Ring Pliers, 6-1/2-Inch","IRWIN","2078900",,"Tools","(unspecified)","(uncollected)","(unspecified)","(unassigned)","Amazon.com","4/12/23","1",,,
"Apple Watch S5 Titanium","Apple","A2095 | WATCH SERIES 5(C)(T)44MM,DARK","FHLZ91Q4MLDP","Electronics","(unspecified)","Apple products","Sold","(unassigned)","Apple","9/13/19","1","$921.17","$849.00","Apple"
"JARVIS POWDERCOATED STANDING DESK","Fully","JRV-PWD","200155364","Furniture","Bedroom 2 → XH Bedroom","(uncollected)","Fair","(unassigned)","https://www.fully.com","9/1/18","1","$856.74","$786.00",
"NEIKO 01970A E-Clip Remover & Installer Tool Set | 4 Piece | SAE | 1/4"" to 3/8""","NEIKO","01970A",,"Tools","(unspecified)","(uncollected)","(unspecified)","(unassigned)","Amazon.com","4/12/23","1",,,
"Logitech ERGO K860","Logitech","ERGO K860",,"Computer Peripherals","(unspecified)","(uncollected)","(unspecified)","(unassigned)","Amazon.com","6/23/23","1","$121.71","$129.99",
"Omni Ultimate","Omnicharge","OMNI ULTIMATE","2FHN224283","Power banks","(unspecified)","Power banks","(unspecified)","(unassigned)","Amazon.com","6/30/23","1","$435.41","$399.00","LiPo"
"200GB microSD card U1","SanDisk","Ultra","7434DVDC3C1R","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)",,,"1",,,
"400GB microSD card U3","GoPro","Extreme","9247YVESR0M3","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)",,,"1",,,
"MagSafe Duo Charger","Apple","MagSafe Duo Charger","DLCGW9FH0DLY","Electronics","(unspecified)","Apple products","Excellent","(unassigned)","Apple EPP Store","5/27/22","1","$106.09","$129.00",
"iPhone 14 Pro Max","Apple",,"F14922VYY9","Electronics","(unspecified)","Apple products","Excellent","(unassigned)","Apple EPP","9/9/22","1","$549.00","$1,049.00",
"iPhone XS Max","Apple","NT6J2LL/A","F2LZF18UKPHG","Electronics","(unspecified)","Apple products","Excellent","(unassigned)","Apple.com","9/14/18","1","$1,654.17","$1,249.00","Apple"
"64GB microSD card U3","SanDisk","Extreme Pro","6174DLK1XOU3","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)",,,"1",,,
"Massdrop x Sennheiser HD 6XX","Sennheiser","HD 6XX","016294","Musical Instruments","(unspecified)","(uncollected)","(unspecified)","(unassigned)","Massdrop","6/29/17","1","$199.99",,
"MacBook Pro 15"" 2018","Apple","MBP 15.4 SPACE GRAY CTO","C02X33ZTJGH6","Computer Hardware","(unspecified)","Apple products","Fair","(unassigned)","Apple.com","7/19/18","1","$4,571.12","$4,620.00","Apple"
"LG Dishwasher","LG","LDT7808SS","010KWNM1Q543","Appliances","Kitchen","(uncollected)","Fair","(unassigned)",,,"1",,,
"NOCO Smart Car Battery Charger","NOCO","GENIUS10",,"Automotive","(unspecified)","(uncollected)","(unspecified)","(unassigned)","Amazon.com","5/12/23","1","$109.07","$99.95",
"iPad Pro 5th gen 12.9"" Wi-Fi + Cellular","Apple","MHP23LL/A | IPAD PRO 12.9,5GEN,CELL,1TB,SILVER","VHWNY443DX","Electronics","(unspecified)","Apple products","(unspecified)","(unassigned)","Apple.com","7/9/21","1","$2,172.01","$2,148.00",
"400GB microSD card U3","SanDisk","Extreme","0445YVJGK1KG","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)",,,"1",,,
"MacBook Pro 16"" 2019","Apple",,"C02ZW689MD6T","Computer Hardware","(unspecified)","Apple products","(unspecified)","(unassigned)","Apple.com","12/27/19","1",,,"Apple"
"Nomad Base Station Pro","Nomad","Base Station Pro",,"Electronics","Bedroom 2 → XH Bedroom","(uncollected)","Excellent","(unassigned)","nomadgoods.com","8/25/20","1","$258.59","$229.95",
"400GB microSD card U3","SanDisk","Extreme","0503YVHEA0VU","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)",,,"1",,,
"Men's Dri-FIT 1/2-Zip Running Top (Large)","Nike","Style DD4756-084",,"Clothing","(unspecified)","(uncollected)","(unspecified)","(unassigned)","Nike store in Gilroy Outlets","6/30/23","1","$42.49","$70.00",
"Nintendo Switch","Nintendo","Switch (2nd gen)","XKW10005644857","Electronics","(unspecified)","Gaming stuff","(unspecified)","(unassigned)",,,"1",,,
"256GB microSD card U3","SanDisk","High Endurance","1385DVCLD4AD","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)",,,"1",,,
"MacBook Pro 14"" 2021","Apple","MBP 14.2 SL","R9JG4390L4","Computer Hardware","(unspecified)","Apple products","Excellent","(unassigned)","Apple.com","10/18/21","1","$4,674.46","$4,279.00","Apple"
"Massdrop x AKG K7XX","AKG","K7XX","016553","Musical Instruments","(unspecified)","(uncollected)","Poor","(unassigned)","Massdrop","8/2/17","1","$199.99",,
"16GB microSD card U1","Lexar","633x","987872202C02 41565-C10-16GBBM A 0817B","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)",,,"1",,,
"Dyson V8","Dyson","V8 Absolute","PM8-US-KDC1364A","Appliances","Garage → Workbench","Dyson products","(unspecified)","(unassigned)","Amazon.com","7/27/18","1","$387.80","$420.00",
"T.REX Sidecar Holster P320","T.REX","Sidecar",,"(uncategorized)","(unspecified)","Pew Holsters","Fair","(unassigned)","trex-arms.com","1/25/24","1",,,
"Travel Duffel 35 // Black","PeakDesign","BTRD-35-BK-1","PKD1905IPKD0000038A00201F71319001796","Bags","(unspecified)","PeakDesign products","(unspecified)","(unassigned)","Peakdesign.com","10/8/19","1","$129.95",,
"DEWALT 20V Max Impact Driver","DEWALT","DCF885",,"Tools","Garage → Workbench","(uncollected)","(unspecified)","(unassigned)","Amazon.com","11/22/21","1","$99.00","$169.00",
"Dyson Pure Cool Purifying Fan DP04","Dyson","DP04","VV6-US-KCA0891A","Appliances","Kitchen","Dyson products","(unspecified)","(unassigned)","Amazon.com","9/25/18","1","$489.39","$448.98",
"Vortex Optics Solo R/T 8x36 Monocular","Vortex","SOL-3608-RT",,"Airsoft","(unspecified)","Tactical Optics","(unspecified)","(unassigned)","Amazonc.om","4/9/23","1","$152.76","$149.99",
"Dyson Supersonic hair dryer","Dyson","HD01 US Bk/Bk/Nk","A5B-US-KEJ1189A","Appliances","Bedroom 2 → Bathroom","Dyson products","(unspecified)","(unassigned)","Dyson.com","8/4/18","1",,,
"Dyson V15 Detect Plus","Dyson","V15 Detect Plus",,"Appliances","Garage → XH Office","Dyson products","Excellent","(unassigned)","Amazon.com","7/16/24","1","$600.18","$749.99",
"Tier1 CENTURION P320","Tier 1 Concealed","CENTURION",,"(uncategorized)","(unspecified)","Pew Holsters","Fair","(unassigned)","tier1concealed.com","1/27/24","1",,,
"Dyson AM09 Hot+Cool Jet Focus Fan Heater","Dyson","AM09","1CE-US-TCA0958A","Appliances","Living room","Dyson products","Excellent","(unassigned)","Amazon.com","12/18/24","1","$330.74","$469.99",
"Insta360 One X2","Insta360","One X2","IXSE35CNFQF7FG","Electronics","(unspecified)","Action cameras","(unspecified)","(unassigned)","Amazon.com","11/21/21","1",,,
"Travel Backpack 45L Black / 45L","PeakDesign","Travel Backpack 45L Black / 45L","R1E1F7391836937","Bags","(unspecified)","PeakDesign products","(unspecified)","(unassigned)",,"11/24/21","1",,,
"GoPro Hero5 Black","GoPro","Hero5",,"Photography Equipment","(unspecified)","Action cameras","(unspecified)","(unassigned)","Amazon.com","7/10/17","1","$399.00",,
"DYSON PURE COOL - TP04","DYSON","TP04","YN1-US-NHA1771A","Appliances","Living room","Dyson products","Excellent","(unassigned)","dyson.com","10/18/20","1","$494.23","$569.99",
"Yamaha Keyboard","Yamaha","YPT-320",,"Musical Instruments","Sun Room","(uncollected)","(unspecified)","(unassigned)","Amazon.com","11/8/11","1","$133.43",,
"Holosun AEMS","Holosun","AEMS-221301",,"Airsoft","(unspecified)","Tactical Optics","(unspecified)","(unassigned)","Amazon.com","6/30/23","1","$469.23","$429.99","Weapon optic"
"Dyson SV12 (V10)","Dyson","SV12 (V10)","B7J-US-NKS4722A","Appliances","Living room","Dyson products","Good","(unassigned)","Costco",,"1",,,
"T.REX Sidecar Holster Hellcat Pro","T.REX","Sidecar",,"(uncategorized)","(unspecified)","Pew Holsters","Fair","(unassigned)","trex-arms.com","4/16/24","1",,,
"Glyph Atom Pro 2TB","Glyph","A2000PRO",,"Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)","Amazon","2/12/20","1","$762.95","$699.95",
"Glyph Blackbox Pro 8TB Rugged Desktop Hard Drive","Glyph","BBPR8000",,"Digital Storage Media","Kitchen","Computer External Storage","(unspecified)","(unassigned)","Amazon","11/30/18","1","$298.50","$298.50",
"Classic Enhanced Universal OBD II Scanner Car Engine Fault Code Reader CAN Diagnostic Scan Tool - Black","ANCEL","AD310",,"Tools","On the way","(uncollected)","(unspecified)","(unassigned)","amazon.com/gp/product/B01G5EA74I","3/15/17","1","$34.99",,
"Tier1 AXIS ELITE for Hellcat Pro","Tier 1 Concealed","AXIS ELITE",,"(uncategorized)","(unspecified)","Pew Holsters","Fair","(unassigned)","tier1concealed.com","5/21/24","1",,,
"HomePod (White)","Apple","HomePod","CC4VWKBFJ265","Electronics","(unspecified)","Apple products","(unspecified)","(unassigned)","Apple.com","2/5/18","1",,,"Apple"
"Dyson AM04 Hot & Cool Table Fan","Dyson","AM04",,"Appliances","Master bedroom","Dyson products","(unspecified)","(unassigned)","Amazon.com","3/19/16","1","$233.74","$219.99",
"Dyson V11","Dyson","V11 Torque Drive","C1J-US-KNK1522A","Appliances","Garage → XH Office","Dyson products","(unspecified)","(unassigned)","Amazon.com","9/18/19","1","$598.00","$598.00",
"iPad mini 5th gen","Apple",,"DMQYJ6Z6LM95","Electronics","(unspecified)","Apple products","(unspecified)","(unassigned)","Apple.com","4/26/19","1",,,"Apple"
"Glyph Atom RAID SSD 2TB Black","Glyph","AR2000BLK",,"Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)","Amazon","11/9/17","1","$829.95","$829.95",
"GoPro Hero8 Black","GoPro","Hero8",,"Photography Equipment","(unspecified)","Action cameras","(unspecified)","(unassigned)",,,"1",,,
"Travel Duffel 35 // Sage","PeakDesign","BTRD-35-SG-1","BPGAA41A00187","Bags","(unspecified)","PeakDesign products","(unspecified)","(unassigned)","Peakdesign.com","5/3/21","1","$129.95",,
"Glyph Atom RAID SSD 2TB Silver","Glyph","AR2000SLV","2AFF6DC6-EDDC-3EAA-9C0F-508EE7CECD2F","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)","Amazon","12/27/19","1","$523.15","$479.95",
"iPad Pro 1st gen 12.9"" Wi-Fi","Apple",,"DLXTT0RKHPJ4","Electronics","(unspecified)","Apple products","Fair","(unassigned)","Apple.com","6/14/17","1","$1,099.00","$1,099.00","Apple"
"PeakDesign Everyday Backpack V2","PeakDesign","BEDB-30-CH-2","AHEAZ42A00143","Bags","Bedroom 2 → XH Bedroom","PeakDesign products","Excellent","(unassigned)","https://www.peakdesign.com/collections/everyday-bags/products/everyday-backpack?variant=29743300902956","11/25/19","1","$316.04","$289.95",
"PlayStation 4 White Edition","Sony",,,"Electronics","(unspecified)","Gaming stuff","(unspecified)","(unassigned)",,,"1",,,
"Dyson Pure Hot+Cool Link purifier fan heater HP02","Dyson","HP02","PE7-US-KCA2763A","Appliances","Bedroom 2 → XH Bedroom","Dyson products","(unspecified)","(unassigned)","Amazon.com","9/29/18","1","$395.90","$395.90",
"Hilliker Signature IWB for Hellcat Pro","Hilliker Holster","Signature IWB",,"(uncategorized)","(unspecified)","Pew Holsters","Fair","(unassigned)","hillikerholsterco.com","6/14/24","1",,,
"512GB microSD card U3","Amazon basics","V30","LSMICR0512GU3 05AGL13 A4K72031731","Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)",,,"1",,,
"Anker 737 Power Bank","Anker","PowerCore III Elite 26K","AFYKHC0D19562893","Power banks","(unspecified)","Power banks","(unspecified)","(unassigned)","Amazon.com","6/30/23","1","$141.85","$129.99","LiPo, Perhaps Return This"
"Glyph Atom Pro 8TB","Glyph","A8000PRO",,"Digital Storage Media","(unspecified)","Computer External Storage","Not received yet","(unassigned)","Amazon.com","4/26/21","1","$2,179.95","$1,399.95",
"Escort MAX 360c","ESCORT","MAX 360c","1A268919","Electronics","Car","(uncollected)","(unspecified)","(unassigned)","Amazon.com","8/19/20","1","$708.45","$649.95",
"HOTO Electric Screwdriver Tool Set","HOTO","QWDGJ001",,"Tools","(unspecified)","(uncollected)","(unspecified)","(unassigned)","Amazon.com","4/17/23","1","$81.51","$105.99",
"Electric Guitar Faded Cherry Sunburst","Epiphone","Limited Edition Les Paul Quilt Top PRO","14121506415","Musical Instruments","(unspecified)","(uncollected)","Fair","(unassigned)","Amazon.com","12/22/15","1","$499.00",,
"PeakDesign Mobile Tripod","PeakDesign","Mobile Tripod","DABAZ52C07758","(uncategorized)","(unspecified)","PeakDesign Mobile","Excellent","(unassigned)","Peakdesign.com","1/19/22","1",,,
"Glyph Atom Pro 8TB","Glyph","A8000PRO",,"Digital Storage Media","(unspecified)","Computer External Storage","Not received yet","(unassigned)","Amazon.com","6/30/23","1","$1,527.70","$1,399.95",
"PlayStation 3","Sony",,,"Electronics","(unspecified)","Gaming stuff","(unspecified)","(unassigned)",,,"1",,,
"ACETECH-Bifrost-Tracer Unit with M14-CCW and M11+CW Thread","ACETECH","Bifrost",,"Airsoft","(unspecified)","(uncollected)","(unspecified)","(unassigned)","Amazon.com","12/24/21","1","$96.03","$88.00",
"GoPro Hero5 Session","GoPro","Hero5 Session",,"Photography Equipment","(unspecified)","Action cameras","(unspecified)","(unassigned)","Amazon.com","4/25/18","1","$193.32",,
"iPad 6th gen Wi-Fi + Cellular","Apple",,"GG7XH3CYJF88","Electronics","(unspecified)","Apple products","(unspecified)","(unassigned)","Apple.com","9/4/19","1",,,"Apple"
"AKG Pro Audio K712 PRO","AKG","K712 Pro",,"Musical Instruments","Garage → XH Office","(uncollected)","(unspecified)","(unassigned)","Amazon.com","4/7/23","1","$349.13","$319.94",
"OSMO Action","DJI","OSMO Action",,"Photography Equipment","(unspecified)","Action cameras","(unspecified)","(unassigned)",,,"1",,,
"PeakDesign Mobile Everyday Loop Case iPhone 12 Pro Max Charcoal","PeakDesign","Mobile Everyday Loop Case iPhone 12 Pro Max Charcoal","EHLAZ49C00494","(uncategorized)","(unspecified)","PeakDesign Mobile","(unspecified)","(unassigned)",,"12/3/21","1",,,
"Glyph Atom 525 GB","Glyph",,,"Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)","Amazon","10/3/17","1","$249.95","$249.95",
"Glyph Atom SSD 2TB Silver","Glyph","A2000SLV",,"Digital Storage Media","(unspecified)","Computer External Storage","(unspecified)","(unassigned)","Amazon","7/13/19","1","$389.95","$389.95",
